symbol,entry_time,entry_price,exit_time,exit_price,raw_return_pct,net_return_pct,resolved,bars_held,days_held,signal_volume_ratio
DOTUSDT,2022-11-17 16:00:00+00:00,5.65,2023-01-14 06:00:00+00:00,6.215000000000001,10.0,9.8,True,1382,57.58,2.753
SOLUSDT,2022-11-17 16:00:00+00:00,13.52,2022-11-24 02:00:00+00:00,14.872,10.0,9.8,True,154,6.42,4.375
ETHUSDT,2022-11-17 16:00:00+00:00,1192.8,2022-12-13 13:00:00+00:00,1312.0800000000002,10.0,9.8,True,621,25.88,2.527
MANAUSDT,2022-11-17 19:00:00+00:00,0.4171,2023-01-13 04:00:00+00:00,0.45881000000000005,10.0,9.8,True,1353,56.38,2.545
ENJUSDT,2022-11-18 21:00:00+00:00,0.311,2022-12-03 03:00:00+00:00,0.3421,10.0,9.8,True,342,14.25,3.807
SANDUSDT,2022-11-18 22:00:00+00:00,0.5755,2022-12-05 17:00:00+00:00,0.6330500000000001,10.0,9.8,True,403,16.79,5.671
ETCUSDT,2022-11-19 06:00:00+00:00,19.13,2023-01-09 00:00:00+00:00,21.043,10.0,9.8,True,1218,50.75,2.819
LINKUSDT,2022-11-19 06:00:00+00:00,6.056,2022-11-23 19:00:00+00:00,6.661600000000001,10.0,9.8,True,109,4.54,2.578
SOLUSDT,2022-11-19 15:00:00+00:00,12.64,2022-11-23 19:00:00+00:00,13.904000000000002,10.0,9.8,True,100,4.17,2.931
OPUSDT,2022-11-19 16:00:00+00:00,0.908,2022-11-30 20:00:00+00:00,0.9988000000000001,10.0,9.8,True,268,11.17,4.616
ETCUSDT,2022-11-19 16:00:00+00:00,19.52,2023-01-09 00:00:00+00:00,21.472,10.0,9.8,True,1208,50.33,4.632
UNIUSDT,2022-11-19 17:00:00+00:00,5.81,2022-12-02 20:00:00+00:00,6.391,10.0,9.8,True,315,13.12,7.876
ETCUSDT,2022-11-19 18:00:00+00:00,19.4,2023-01-09 00:00:00+00:00,21.34,10.0,9.8,True,1206,50.25,4.678
CHZUSDT,2022-11-20 11:00:00+00:00,0.2349,2023-01-19 10:00:00+00:00,0.1264,-46.19,-46.39,False,1439,59.96,4.392
SHIBUSDT,2022-11-20 13:00:00+00:00,8.98e-06,2022-12-05 05:00:00+00:00,9.878000000000001e-06,10.0,9.8,True,352,14.67,3.13
CHZUSDT,2022-11-20 16:00:00+00:00,0.2255,2023-01-19 15:00:00+00:00,0.1261,-44.08,-44.28,False,1439,59.96,3.073
AVAXUSDT,2022-11-21 01:00:00+00:00,12.12,2022-11-24 02:00:00+00:00,13.332,10.0,9.8,True,73,3.04,2.646
LTCUSDT,2022-11-21 01:00:00+00:00,62.99,2022-11-22 13:00:00+00:00,69.289,10.0,9.8,True,36,1.5,3.04
SHIBUSDT,2022-11-21 01:00:00+00:00,8.72e-06,2022-11-27 11:00:00+00:00,9.592e-06,10.0,9.8,True,154,6.42,3.746
DOGEUSDT,2022-11-21 01:00:00+00:00,0.07648,2022-11-24 01:00:00+00:00,0.08412800000000001,10.0,9.8,True,72,3.0,2.971
BNBUSDT,2022-11-21 01:00:00+00:00,264.6,2022-11-23 08:00:00+00:00,291.06000000000006,10.0,9.8,True,55,2.29,2.919
