symbol,entry_time,entry_price,max_high,max_rise_pct,days_to_max,reached_5pct,reached_7pct,reached_10pct
XRPUSDT,2023-08-15 19:00:00+00:00,0.6218,0.6218,0.0,0.0,False,False,False
BNBUSDT,2023-08-15 21:00:00+00:00,238.3,238.5,0.084,0.0,False,False,False
XRPUSDT,2023-08-16 07:00:00+00:00,0.6036,0.6042,0.099,0.0,False,False,False
BTCUSDT,2023-08-17 17:00:00+00:00,27937.36,30000.0,7.383,59.83,True,True,False
ETHUSDT,2023-08-17 17:00:00+00:00,1740.89,1751.0,0.581,45.21,False,False,False
SOLUSDT,2023-08-17 17:00:00+00:00,23.05,24.8,7.592,45.54,True,True,False
BNBUSDT,2023-08-17 17:00:00+00:00,225.3,234.8,4.217,11.88,False,False,False
ETHUSDT,2023-08-17 23:00:00+00:00,1695.31,1751.0,3.285,44.96,False,False,False
XRPUSDT,2023-08-17 23:00:00+00:00,0.5103,0.5582,9.387,2.5,True,True,False
BNBUSDT,2023-08-17 23:00:00+00:00,221.2,234.8,6.148,11.62,True,False,False
SOLUSDT,2023-08-17 23:00:00+00:00,22.0,24.8,12.727,45.29,True,True,True
BTCUSDT,2023-08-17 23:00:00+00:00,26801.3,30000.0,11.935,59.58,True,True,True
BNBUSDT,2023-08-21 14:00:00+00:00,210.9,234.8,11.332,8.0,True,True,True
XRPUSDT,2023-08-21 16:00:00+00:00,0.5107,0.5496,7.617,7.92,True,True,False
BNBUSDT,2023-08-21 16:00:00+00:00,208.5,234.8,12.614,7.92,True,True,True
SOLUSDT,2023-08-21 16:00:00+00:00,20.71,27.5,32.786,59.71,True,True,True
BTCUSDT,2023-08-21 16:00:00+00:00,25939.59,30207.55,16.453,59.75,True,True,True
SOLUSDT,2023-08-22 14:00:00+00:00,20.86,29.97,43.672,59.88,True,True,True
BNBUSDT,2023-08-22 15:00:00+00:00,206.9,234.8,13.485,6.96,True,True,True
BNBUSDT,2023-08-22 17:00:00+00:00,207.1,234.8,13.375,6.88,True,True,True
BTCUSDT,2023-08-22 17:00:00+00:00,26020.01,30207.55,16.094,58.71,True,True,True
SOLUSDT,2023-08-22 19:00:00+00:00,20.3,29.97,47.635,59.67,True,True,True
ETHUSDT,2023-08-22 19:00:00+00:00,1636.98,1751.0,6.965,40.12,True,False,False
BNBUSDT,2023-08-22 19:00:00+00:00,208.8,234.8,12.452,6.79,True,True,True
ETHUSDT,2023-08-24 18:00:00+00:00,1649.38,1751.0,6.161,38.17,True,False,False
BNBUSDT,2023-08-25 15:00:00+00:00,215.5,238.1,10.487,59.46,True,True,True
BTCUSDT,2023-08-25 16:00:00+00:00,25932.01,35280.0,36.048,59.42,True,True,True
